INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
BLACK BURGER/ ROLL N GO PIZZA,50048048,362 BROADWAY,"NEW YORK, NY 10013-3912",MANHATTAN,983252,200629,50048048,Hamburgers
BLACK CRESCENT,50005517,76 CLINTON ST,"NEW YORK, NY 10002-3416",MANHATTAN,988360,201177,50005517,Seafood
BLACK FLAMINGO,50032793,168 BORINQUEN PL,"BROOKLYN, NY 11211-4654",BROOKLYN,997032,198198,50032793,Vegetarian
BLACK FOX COFFEE CO,50047425,70 PINE ST UNIT 1,"NEW YORK, NY 10270-0001",MANHATTAN,982061,196606,50047425,Caf&eacute;/Coffee/Tea
BLACK IRON BURGER,50040303,333 7TH AVE,"NEW YORK, NY 10001-5004",MANHATTAN,986173,211658,50040303,American
BLACK SEED BAGELS,50041653,176 1ST AVE FRNT 1,"NEW YORK, NY 10009-4594",MANHATTAN,988649,204934,50041653,Bagels/Pretzels
BLISS BOWL/YORGANIC,50013525,89 WASHINGTON ST,"NEW YORK, NY 10006-2202",MANHATTAN,980244,197227,50013525,American
BLOSSOM DU JOUR,50048705,259 W 23RD ST,"NEW YORK, NY 10011-2321",MANHATTAN,985014,210620,50048705,Vegetarian
BLOSSOM DUJOUR,50052924,617 9TH AVE FRNT,"NEW YORK, NY 10036-3711",MANHATTAN,986510,215994,50052924,Other
BLUE DOOR SOUVLAKIA,50058927,8413 3RD AVE,"BROOKLYN, NY 11209-4601",BROOKLYN,975789,166927,50058927,Greek
BLUE MOON CHICKEN DELI & PIZZA,50015076,1249 SUTTER AVE,"BROOKLYN, NY 11208-3803",BROOKLYN,1019773,184414,50015076,Chicken
BLUE SKY JWY RESTAURANT,50060329,7218 18TH AVE,"BROOKLYN, NY 11204-5632",BROOKLYN,985807,163329,50060329,Chinese
BLUE STORM BILLIARDS & CAFE,50053575,13541 37TH AVE 1-R,"FLUSHING, NY 11354-4119",QUEENS,1030890,216707,50053575,Other
BLUESTONE LANE,50036715,2 E 90TH ST,"NEW YORK, NY 10128-0603",MANHATTAN,995790,224903,50036715,Caf&eacute;/Coffee/Tea
BLUESTONE LANE,50053400,55 PROSPECT ST,"BROOKLYN, NY 11201-1497",BROOKLYN,987449,194562,50053400,Australian
BLUESTONE LANE,50057502,90 WATER ST,"NEW YORK, NY 10005-3578",MANHATTAN,981924,195946,50057502,Caf&eacute;/Coffee/Tea
BLUESTONE LANE COFFEE,50016773,1114 AVENUE OF THE AMERICAS,"NEW YORK, NY 10036",MANHATTAN,988757,214472,50016773,Caf&eacute;/Coffee/Tea
BLUJEEN,50034742,2143 FREDERICK DOUGLASS BLVD,"NEW YORK, NY 10026-2314",MANHATTAN,996549,232254,50034742,American
BLVD BISTRO & BAR(WYNDHAM GARDEN HOTEL),50050405,9277 QUEENS BLVD,"REGO PARK, NY 11374-1028",QUEENS,1021158,205967,50050405,American
BLVD WINE BAR,50018090,4720 CENTER BLVD,"LONG ISLAND CITY, NY 11109-5619",QUEENS,996120,210927,50018090,American
BO'S BAGELS,50057837,235 W 116TH ST FRNT 1,"NEW YORK, NY 10026-2421",MANHATTAN,997069,232099,50057837,Bagels/Pretzels
BOBA GUYS,50044003,23 CLINTON ST FRNT 1,"NEW YORK, NY 10002-1738",MANHATTAN,988607,201821,50044003,Other
BOBA GUYS,50060028,11 WAVERLY PL,"NEW YORK, NY 10003-6722",MANHATTAN,985865,205250,50060028,Caf&eacute;/Coffee/Tea
BOBBY SPOT NUVO CAFE,50064681,4701 VAN DAM ST,"LONG ISLAND CITY, NY 11101-3011",QUEENS,1002544,209832,50064681,Egyptian
BOCAITO CAFE & WINE BAR,50003915,8115 NORTHERN BLVD,"JACKSON HEIGHTS, NY 11372-1346",QUEENS,1015815,214544,50003915,Spanish
BOGART HOUSE,50047107,360 TEN EYCK ST AKA 230 BOGART ST,"BROOKLYN, NY 11206-1723",BROOKLYN,1002194,198623,50047107,Other
BOMBAY SANDWICH CO,50060889,224 W 35TH ST,"NEW YORK, NY 10001-2507",MANHATTAN,986729,213263,50060889,Vegetarian
BOMBONADA,50042315,1405 SAINT NICHOLAS AVE FRNT 1,"NEW YORK, NY 10033-4048",MANHATTAN,1002491,248555,50042315,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
BON CHOVIE,50040680,884 FULTON ST,"BROOKLYN, NY 11238-2348",BROOKLYN,993761,188196,50040680,American
BONDURANTS,50004412,303 E 85TH ST,"NEW YORK, NY 10028-4501",MANHATTAN,997587,222376,50004412,American
